"id","mother","father"
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"12424","17","21"
"16796","24","32"
"16539","24","26"
"16794","24","32"
"10941","14","32"
"12166","16","40"
"17015","24","33"
"10754","14","29"
"15041","21","22"
"9175","12","26"
"34918","21","34"
"36796","24","34"
"20885","1","21"
"34854","21","34"
"20852","1","21"
"20854","1","21"
"38285","29","40"
"20980","1","21"
"22576","3","21"
"22483","3","21"
"54008","17","32"
"43204","4","21"
"43122","4","21"
"55806","21","40"
"52070","14","39"
"52183","14","39"
"55816","21","40"
"43124","4","21"
"47470","9","20"
"55623","21","31"
"68996","12","21"
"75043","21","40"
"75039","21","38"
"68866","12","21"
"63303","5","24"
"60245","1","14"
"61016","1","37"
"73086","18","24"
"68908","12","21"
"60743","1","32"
"91939","14","39"
"96972","24","32"
"96896","24","32"
"94448","18","40"
"93538","18","21"
"82206","4","14"
"94754","19","21"
"93450","18","21"
"96949","24","32"
"99238","32","35"
"119627","12424","16796"
"119508","12424","16796"
"119606","12424","16796"
"119614","12424","16796"
"107256","17","16794"
"112585","24","16796"
"119522","12424","16796"
"115666","29","12424"
"119544","12424","16796"
"119497","12424","16796"
"128090","29","22576"
"130125","32","12424"
"139262","34854","38285"
"136661","16539","17015"
"138853","34918","20980"
"139951","22576","22483"
"138639","15041","22576"
"136666","16539","17015"
"136672","16539","17015"
"136719","16539","17015"
"148261","12424","16796"
"155058","34918","22576"
"158415","22576","43122"
"159107","54008","43124"
"150390","16796","10754"
"156220","36796","43204"
"158376","22576","43122"
"152465","10941","43204"
"159921","52070","55816"
"152405","10941","20885"
"161609","16794","75043"
"160105","12424","16796"
"177139","55816","68996"
"170445","34854","68996"
"177215","55816","68996"
"170554","34854","68996"
"171923","38285","43124"
"168098","34918","34854"
"170551","34854","68996"
"166547","15041","43124"
"199479","96972","93538"
"180865","34918","96896"
"190531","43122","75039"
"186460","20852","68996"
"197324","63303","94754"
"188701","54008","68996"
"184513","34854","68996"
"198545","68908","94754"
"189089","43204","91939"
"181059","34918","96949"
"218559","119627","119606"
"218457","119627","119606"
"218459","119627","119606"
"218574","119627","119606"
"218545","119627","119606"
"218505","119627","119606"
"218454","119627","119606"
"210298","75043","119508"
"202477","43204","119522"
"209541","68996","107256"
"225209","60245","119627"
"234616","119508","112585"
"231642","93538","119627"
"234774","119606","139262"
"235568","119614","139951"
"235082","119614","115666"
"231775","93538","119627"
"234685","119606","139262"
"234588","119508","112585"
"234802","119606","139262"
"255830","139262","150390"
"250171","119508","148261"
"248839","119627","130125"
"259164","155058","156220"
"252221","119522","148261"
"248957","119627","136666"
"259859","158376","152405"
"249340","119627","155058"
"248988","119627","136666"
"255636","139262","139951"
"275663","148261","161609"
"260213","119627","119544"
"275528","148261","156220"
"275671","148261","161609"
"260630","119627","158415"
"275665","148261","161609"
"279478","160105","170551"
"275748","148261","161609"
"275752","148261","161609"
"266806","119522","136719"
"295196","161609","170445"
"297509","170554","197324"
"290411","148261","180865"
"290428","148261","180865"
"294193","158376","197324"
"290402","148261","180865"
"289713","148261","158376"
"290553","148261","190531"
"295053","161609","170445"
"290976","155058","150390"
"302229","155058","218559"
"302094","155058","218559"
"319195","218459","202477"
"309841","161609","218559"
"300848","148261","218459"
"318328","218457","218459"
"317230","189089","218559"
"316342","184513","218454"
"318109","218559","202477"
"318060","218559","202477"
"336287","218459","218454"
"336486","218459","225209"
"330873","188701","218559"
"336539","218459","225209"
"335437","218457","218459"
"336402","218459","218454"
"339378","225209","234588"
"335694","218457","218505"
"328304","190531","218545"
"336335","218459","218454"
"348999","218559","259859"
"348721","218559","218454"
"348728","218559","218454"
"342373","180865","250171"
"348784","218559","218454"
"341311","180865","218559"
"348740","218559","218454"
"352896","218454","250171"
"358104","234588","259859"
"349781","218457","234588"
"379142","275671","260630"
"366237","218454","255830"
"379126","275671","260630"
"379426","275671","275665"
"361150","218457","250171"
"363759","218459","275665"
"378551","260213","279478"
"370534","234774","248988"
"378045","248988","266806"
"374709","248839","275665"
"385282","235568","295053"
"380485","225209","248957"
"380671","225209","249340"
"380858","225209","275663"
"397501","260630","290428"
"397568","260630","290428"
"393754","259859","275528"
"384254","234774","275752"
"389773","255830","275663"
"398990","297509","295053"
"419049","302094","319195"
"409419","275663","318109"
"416815","295196","316342"
"419098","302094","319195"
"418062","290402","302229"
"432678","290402","336287"
"427189","275748","336287"
"436524","309841","336539"
"427085","275748","336287"
"456283","336486","352896"
"448140","302229","336287"
"449537","319195","336486"
"449113","302094","348999"
"456177","336486","336402"
"456379","336486","352896"
"455981","336486","330873"
"479318","379142","379126"
"470243","336539","379126"
"469311","330873","379142"
"476955","342373","366237"
"463971","309841","379142"
"480064","336287","330873"
"482111","336486","385282"
"490753","348728","389773"
"493554","348740","380485"
"498136","363759","397568"
"495602","379142","379126"
"490786","348728","389773"
"497164","379426","397568"
"508312","409419","379142"
"518784","419098","409419"
"504365","419049","336486"
"516989","419098","419049"
"518581","416815","409419"
"508315","409419","379142"
"503244","380485","336486"
"500796","348999","336486"
"509420","416815","379142"
"517735","419049","409419"
"502160","380485","336486"
"534039","409419","389773"
"531306","409419","389773"
"533469","409419","389773"
"522630","436524","336486"
"520873","419049","336486"
"536917","419049","416815"
"521161","419049","336486"
"524043","419049","348999"
"536551","416815","409419"
"534152","409419","389773"
"537102","419098","416815"
"539546","427189","427085"
"558731","456177","455981"
"557136","455981","449537"
"555149","455981","448140"
"556987","455981","449537"
"559320","456379","455981"
"557665","455981","449537"
"555424","455981","448140"
"551992","455981","419049"
"578735","479318","470243"
"577032","469311","455981"
"574652","469311","455981"
"568012","469311","448140"
"570540","456379","455981"
"592924","493554","470243"
"598931","497164","493554"
"590211","482111","455981"
"595924","480064","476955"
"599950","498136","490786"
"593819","497164","470243"
"610556","518784","497164"
"610621","518784","497164"
"612804","518784","504365"
