"id","mother","father"
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"15774","22","34"
"10424","12","16"
"15037","21","38"
"18404","30","38"
"1026","2","30"
"988","2","30"
"15000","21","38"
"1300","3","35"
"13679","18","33"
"930","2","30"
"34695","21","34"
"39232","33","38"
"37861","28","34"
"21760","2","33"
"24233","4","33"
"34511","21","33"
"33748","20","30"
"39518","36","38"
"39459","36","38"
"22268","3","23"
"51078","11","38"
"58778","30","33"
"55744","20","38"
"55681","20","38"
"59522","32","34"
"51463","12","20"
"51216","11","38"
"55747","20","38"
"41454","2","33"
"50536","11","33"
"61554","2","34"
"67344","9","38"
"60595","1","34"
"67309","9","38"
"60585","1","34"
"74929","24","38"
"62181","3","22"
"62936","3","38"
"62920","3","38"
"69960","14","25"
"81390","2","20"
"90189","11","16"
"98463","28","38"
"82976","3","36"
"80498","1","12"
"80586","1","12"
"97310","26","34"
"80545","1","12"
"82492","3","14"
"99985","37","38"
"119653","1026","15000"
"119173","15037","988"
"115967","34","15774"
"119064","15037","988"
"119777","1026","15000"
"119060","15037","988"
"116149","34","10424"
"107968","20","15037"
"116502","34","13679"
"117358","38","18404"
"135858","18404","37861"
"137177","15000","34695"
"133953","38","24233"
"134008","38","24233"
"130344","33","13679"
"138906","37861","24233"
"135320","15037","18404"
"138733","37861","21760"
"138548","39232","34511"
"138292","39232","21760"
"154222","988","58778"
"158385","39459","58778"
"156656","24233","51078"
"158489","51078","59522"
"156930","24233","51463"
"158641","51078","51216"
"152447","1026","39232"
"159324","51463","55747"
"155785","34695","55747"
"150268","10424","58778"
"174155","39459","58778"
"161857","15037","34695"
"175399","51078","60595"
"164478","1026","58778"
"169631","39232","67344"
"177226","59522","74929"
"175529","51078","67309"
"167425","13679","39232"
"178246","55747","67309"
"168840","34695","60585"
"181751","39232","60595"
"181653","39232","60595"
"189430","58778","50536"
"189464","58778","60595"
"196595","60595","67309"
"184302","24233","82976"
"186702","39518","82492"
"196512","60595","67309"
"180043","34695","37861"
"196449","60595","67309"
"210578","60595","67309"
"203265","59522","119777"
"211879","67309","119173"
"219252","119653","115967"
"215255","62920","119173"
"213437","74929","119064"
"217184","82976","117358"
"213026","74929","82976"
"207358","41454","116502"
"210985","60595","99985"
"236097","119653","117358"
"237714","119777","138548"
"239600","137177","138733"
"239443","137177","138733"
"237452","119777","138906"
"239612","137177","138733"
"232430","82976","119173"
"223271","60595","116149"
"224241","67309","138548"
"239483","137177","138733"
"259635","158385","150268"
"256731","137177","138906"
"252867","119060","154222"
"249929","119653","155785"
"256442","135858","159324"
"257002","137177","159324"
"249947","119653","155785"
"258013","130344","158385"
"255436","117358","154222"
"256505","135858","159324"
"276641","158385","150268"
"278810","155785","150268"
"260748","119653","154222"
"275545","154222","158385"
"270482","135858","158385"
"278710","155785","150268"
"260963","119653","175529"
"279889","169631","168840"
"271184","137177","158489"
"260304","119653","137177"
"281370","137177","169631"
"287572","138292","189464"
"295992","175399","196595"
"288529","154222","178246"
"294798","161857","175399"
"298788","189430","189464"
"282372","134008","138733"
"293102","155785","169631"
"280539","135858","164478"
"285186","138906","196449"
"301172","154222","196595"
"302898","158385","186702"
"315480","181751","217184"
"315660","181653","219252"
"308759","150268","217184"
"301990","158385","174155"
"312728","175529","189464"
"302065","158385","161857"
"302637","158385","164478"
"315735","181653","219252"
"339396","236097","237452"
"322991","164478","239612"
"325716","175529","239612"
"330932","189464","213026"
"325796","175529","239612"
"331518","196595","237452"
"322680","164478","239443"
"326827","167425","239612"
"331790","196595","239483"
"337003","219252","223271"
"355134","237714","252867"
"358891","256731","252867"
"354881","236097","259635"
"357407","239612","256731"
"358711","259635","258013"
"357389","239612","256731"
"358861","256731","252867"
"341546","181653","239612"
"358027","224241","249929"
"355788","239600","259635"
"379241","276641","260963"
"371301","239600","256731"
"376065","256731","260963"
"373004","237452","260748"
"371496","239600","276641"
"374869","223271","279889"
"366118","213437","276641"
"369113","210985","239612"
"373254","237452","279889"
"370437","236097","271184"
"389090","259635","276641"
"388202","239483","259635"
"395727","276641","285186"
"391305","252867","285186"
"388265","239483","256731"
"380967","237714","259635"
"389137","259635","276641"
"380980","237714","259635"
"397413","270482","293102"
"384854","239612","280539"
"459295","357407","341546"
"442664","288529","330932"
"456080","315735","357389"
"443973","294798","308759"
"459193","358891","357407"
"459038","358891","354881"
"451479","302898","301990"
"445050","294798","357389"
"455796","315735","355134"
"443157","288529","355134"
"448413","280539","302898"
"456089","315735","357389"
"446673","282372","337003"
"449938","285186","315480"
"445028","294798","358711"
"447553","282372","358711"
"442289","288529","294798"
"442535","288529","315480"
"459103","358891","357407"
"442620","288529","315480"
"454523","312728","325796"
"453491","308759","355788"
"458982","358891","354881"
"447515","282372","358711"
"456523","339396","326827"
"458273","331518","341546"
"451510","302898","301990"
"458379","331518","341546"
"453106","308759","358711"
"440097","281370","302898"
"459978","358861","341546"
"451805","302898","358027"
"451312","301172","326827"
"457549","330932","358711"
"448408","280539","302898"
"447524","282372","358711"
"453921","301990","337003"
"467591","312728","358711"
"477097","354881","369113"
"471325","330932","358891"
"476054","358891","373004"
"475396","355134","358891"
"476125","358891","373004"
"463210","302898","376065"
"466468","301990","373004"
"468311","302637","331790"
"469495","339396","337003"
"469061","315735","374869"
"478448","341546","366118"
"479498","371301","376065"
"465759","308759","366118"
"477550","358711","357389"
"476932","354881","373004"
"464413","315480","371496"
"478242","357389","374869"
"464352","315480","371496"
"462228","302898","302637"
"470708","325716","331518"
"475366","355134","358891"
"475090","337003","374869"
"495559","371301","384854"
"487581","326827","373004"
"482929","325716","376065"
"497914","373254","389137"
"490121","355134","374869"
"495128","379241","389090"
"490176","355134","374869"
"487083","326827","355788"
"494684","355788","369113"
"499119","391305","397413"
"495427","379241","395727"
"497990","373254","389137"
"488533","331790","374869"
"490185","355134","374869"
"499796","380967","380980"
