"id","mother","father"
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"2588","5","13"
"2658","5","20"
"4312","6","20"
"3772","6","13"
"4115","6","18"
"2652","5","20"
"234","1","19"
"2712","5","20"
"8311","11","19"
"9048","12","33"
"24062","5","13"
"24212","5","13"
"24445","5","24"
"34426","20","24"
"29760","13","30"
"29736","13","30"
"34616","20","32"
"29891","13","37"
"24076","5","13"
"29792","13","30"
"48532","11","18"
"49654","12","30"
"49711","12","30"
"40442","1","19"
"49689","12","30"
"49501","12","19"
"50194","13","22"
"43812","5","20"
"54343","20","27"
"58457","28","30"
"67947","12","18"
"64487","7","13"
"78861","32","34"
"67978","12","18"
"67242","11","18"
"74013","20","37"
"66704","9","38"
"63594","5","39"
"70012","14","20"
"63155","5","28"
"94150","18","38"
"91661","13","20"
"96064","24","32"
"83273","5","9"
"91804","13","20"
"89742","11","32"
"91772","13","20"
"91415","13","14"
"84689","6","22"
"91929","13","21"
"118776","2588","2658"
"119672","3772","8311"
"119322","2658","4115"
"119531","4312","2712"
"119465","4312","2712"
"118928","2588","4115"
"103098","13","4115"
"119464","4312","2712"
"119675","3772","8311"
"119484","4312","2712"
"139551","34426","29736"
"137995","234","29792"
"138508","8311","29760"
"136838","3772","34426"
"135787","2588","9048"
"138694","24062","34616"
"138872","24212","24076"
"136477","3772","4115"
"138829","24062","34616"
"135956","2658","4312"
"150513","4115","24212"
"158244","29736","49501"
"158197","29736","48532"
"157688","29736","29891"
"158023","29736","29792"
"151396","2652","29792"
"153078","2712","29760"
"156868","34426","49501"
"157320","29760","49711"
"155000","24062","49711"
"160116","2588","4312"
"161864","4312","234"
"160625","2588","24076"
"162838","4312","63155"
"162229","4312","67978"
"162261","4312","63594"
"175355","49654","49689"
"162707","4312","63155"
"175597","49654","58457"
"161683","4312","4115"
"180525","24062","91772"
"181476","24212","67947"
"181989","24212","67978"
"197583","67242","94150"
"189812","49711","94150"
"183999","29760","49654"
"188720","49654","64487"
"180188","24062","64487"
"189187","49654","91415"
"198635","63155","91415"
"219635","119322","119484"
"220004","119465","119484"
"219782","119465","119675"
"219358","118776","103098"
"219974","119465","119484"
"209638","64487","118776"
"208985","67947","119484"
"208898","67947","119484"
"219259","118776","103098"
"219321","118776","103098"
"237791","119465","135956"
"237723","119465","135956"
"237261","119531","119484"
"236251","119672","119465"
"224582","67242","138694"
"237024","119322","138508"
"233211","91804","139551"
"237436","119531","119484"
"238533","119484","135956"
"234717","91415","138872"
"250535","119531","139551"
"251035","119531","157688"
"251725","119465","153078"
"249833","119322","137995"
"250845","119531","157688"
"256652","138694","158197"
"252744","103098","158197"
"255050","136838","138872"
"256763","138694","158197"
"250998","119531","157688"
"269742","139551","138694"
"277099","158244","156868"
"273784","138694","158197"
"271432","138508","158197"
"261712","119672","157688"
"274335","138872","157688"
"269725","139551","138694"
"272008","138508","162261"
"262478","119322","138694"
"273806","138694","158197"
"291576","157688","188720"
"284968","135787","189812"
"289525","150513","180525"
"289563","150513","180525"
"288801","135956","155000"
"298274","175597","189812"
"286763","138872","175597"
"291809","157688","198635"
"293810","156868","180525"
"296734","162229","162707"
"301616","150513","220004"
"319964","208898","219321"
"302610","158244","219358"
"303951","158197","181476"
"311809","162229","219635"
"318530","189187","219635"
"303804","158197","162261"
"310891","162838","197583"
"303191","158244","219259"
"319597","219358","219974"
"335261","219635","237791"
"335109","219635","208898"
"335312","219635","237791"
"338205","208898","237024"
"337942","208898","237791"
"335340","219635","237791"
"339589","237723","237436"
"328284","181476","208898"
"335218","219635","208898"
"337976","208898","237791"
"356842","237024","256652"
"359915","256652","256763"
"359358","251035","256652"
"341127","181476","237436"
"359733","250845","256652"
"345748","188720","250998"
"348154","189187","251035"
"359400","251035","256652"
"355779","237723","256652"
"359024","234717","250998"
"366641","208898","271432"
"362232","219782","237436"
"364512","219974","250998"
"369620","237791","238533"
"377838","255050","250998"
"378507","256763","261712"
"371117","237261","273784"
"376483","249833","261712"
"379927","272008","262478"
"375522","251035","261712"
"393133","256652","262478"
"388232","234717","284968"
"389357","250535","291809"
"391032","249833","250998"
"393248","256652","298274"
"395216","250998","286763"
"393536","256652","286763"
"394991","250998","272008"
"399075","291576","289525"
"395719","269742","293810"
