"id","mother","father"
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",NA,NA
"34",NA,NA
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",NA,NA
"40",NA,NA
"2281","3","4"
"2209","2","31"
"1386","2","13"
"1529","2","17"
"2153","2","31"
"17987","30","32"
"11321","15","38"
"1526","2","17"
"1631","2","17"
"3776","5","17"
"33628","17","31"
"22502","3","32"
"22121","3","28"
"29574","11","30"
"22409","3","30"
"22385","3","30"
"22415","3","30"
"22309","3","30"
"22335","3","30"
"28003","9","23"
"41857","3","25"
"59857","38","40"
"41980","3","25"
"42196","3","28"
"48971","11","30"
"49001","11","30"
"41165","2","16"
"51653","16","31"
"48993","11","30"
"42135","3","28"
"62586","2","34"
"79285","31","38"
"69643","9","34"
"63000","3","39"
"62592","2","34"
"62632","2","34"
"62442","2","34"
"79413","31","38"
"61680","2","17"
"62561","2","34"
"89937","11","30"
"81409","2","25"
"82541","3","17"
"98005","27","38"
"90145","11","32"
"89998","11","30"
"83110","4","13"
"90056","11","32"
"82764","3","39"
"90214","11","32"
"119750","1529","1526"
"116914","34","1529"
"119285","1386","17987"
"116963","34","1529"
"118769","2281","11321"
"119584","1529","17987"
"118741","2281","11321"
"119424","1386","17987"
"109394","21","1529"
"119108","2209","17987"
"134796","2209","22385"
"135576","1386","22409"
"137721","1526","29574"
"133972","2281","28003"
"135418","1386","22502"
"139232","33628","22409"
"136645","2153","22335"
"135543","1386","22409"
"133850","2281","28003"
"134835","2209","22385"
"157152","22121","42196"
"149037","2281","1526"
"158899","41857","59857"
"155518","33628","41165"
"156122","22502","22385"
"149097","2281","1631"
"156908","22121","22385"
"149009","2281","1526"
"152834","2153","1526"
"149963","2281","59857"
"173683","22335","62586"
"171246","22385","22309"
"163861","1529","62586"
"161165","2281","62632"
"174677","41857","42196"
"171106","22409","61680"
"171306","22385","22309"
"178062","62586","62632"
"179505","62592","62442"
"164915","2153","41980"
"186052","22385","41857"
"181607","22502","62586"
"181524","22502","62586"
"189111","22335","49001"
"186439","22385","62632"
"183497","22121","90145"
"189255","22335","48993"
"189570","22335","62632"
"181745","22502","69643"
"185494","22409","98005"
"201121","59857","119750"
"219689","118769","119108"
"218570","119750","116914"
"202884","42196","90145"
"200127","41857","48993"
"213055","62632","116914"
"218666","119750","109394"
"213609","62632","119108"
"218503","119750","116914"
"213629","62632","119108"
"237854","118769","134835"
"236103","119750","136645"
"237538","119285","119424"
"236137","119750","136645"
"225202","62632","119108"
"238783","119108","134796"
"237278","116914","139232"
"236871","116914","134796"
"239117","137721","136645"
"236012","119750","118741"
"252953","118769","158899"
"253605","119584","157152"
"252916","118769","158899"
"255331","134796","133972"
"251609","119285","135576"
"253072","118769","155518"
"259848","156122","152834"
"254232","119424","134796"
"252577","116963","139232"
"257077","135418","158899"
"260507","119750","156122"
"279251","173683","171306"
"279419","173683","171306"
"278260","149009","179505"
"269316","135576","156908"
"261243","119285","134796"
"262519","116963","158899"
"271494","133972","173683"
"264635","119584","164915"
"277653","149097","161165"
"298566","181607","183497"
"287678","157152","173683"
"299565","186439","189570"
"281180","134796","181745"
"295717","171106","186052"
"295671","171106","186052"
"289089","158899","171246"
"290951","149009","173683"
"291824","149009","171306"
"298834","181524","186439"
"318635","189570","219689"
"313331","171106","186052"
"317957","189255","219689"
"301080","157152","219689"
"319305","219689","200127"
"316791","186439","189570"
"309147","149963","201121"
"313263","171106","186052"
"300412","157152","164915"
"315521","186052","219689"
"330190","186052","236871"
"330157","186052","236871"
"321283","171246","237538"
"333940","189570","201121"
"329890","186052","213055"
"320465","173683","236871"
"320819","173683","239117"
"330130","186052","236871"
"334797","181745","236137"
"329888","186052","213055"
"359414","253605","257077"
"353898","213055","251609"
"359250","253605","257077"
"341367","186052","252953"
"350814","201121","225202"
"352661","202884","254232"
"359423","253605","257077"
"352248","218570","259848"
"345736","186439","259848"
"346847","189255","213055"
"374444","252916","257077"
"373736","253605","259848"
"368228","237854","279419"
"377760","254232","262519"
"378804","279419","278260"
"360703","219689","255331"
"379201","279419","277653"
"375956","251609","259848"
"376128","251609","279251"
"363459","213055","225202"
"392643","259848","279251"
"398877","264635","299565"
"394691","257077","279251"
"389505","252953","279419"
"398301","271494","298566"
"396483","279419","287678"
"390555","253605","277653"
"400037","299565","298834"
"388142","239117","253072"
"392831","259848","279251"
"455524","330190","345736"
"458592","359414","345736"
"451524","317957","341367"
"455468","330190","345736"
"445458","295671","352248"
"453387","309147","334797"
"447139","289089","352661"
"450606","318635","341367"
"453438","309147","334797"
"455475","330190","345736"
"448769","298834","309147"
"455210","330190","359414"
"445544","295671","352248"
"440918","298566","321283"
"449946","318635","301080"
"454480","300412","352248"
"457263","320465","359250"
"441346","298566","350814"
"450160","318635","313263"
"457493","320819","359423"
"455975","321283","320465"
"455114","330190","359414"
"459836","352661","359423"
"452999","309147","313263"
"455087","330190","359414"
"444113","281180","350814"
"452585","319305","320819"
"448373","291824","320819"
"445487","295671","352248"
"458670","353898","341367"
"458149","359414","353898"
"459778","352661","359423"
"457260","320465","359250"
"456746","329890","353898"
"446644","289089","329890"
"458590","359414","345736"
"454721","315521","352248"
"454004","313263","345736"
"452610","319305","320819"
"456439","333940","334797"
"440775","298566","319305"
"458380","359414","359423"
"443715","281180","334797"
"450572","318635","341367"
"440765","298566","319305"
"442148","287678","359414"
"472772","320819","373736"
"476524","341367","346847"
"479794","360703","363459"
"477460","352661","345736"
"476759","341367","377760"
"477054","350814","368228"
"474037","334797","379201"
"474536","359414","359423"
"474195","329888","359250"
"465372","319305","333940"
"473899","334797","379201"
"465867","319305","373736"
"475543","359250","368228"
"477574","352661","345736"
"469576","330157","359414"
"478732","345736","363459"
"472770","320819","373736"
"477362","350814","360703"
"467607","313263","359423"
"467005","309147","359250"
"474834","359414","378804"
"479300","378804","360703"
"472748","320819","373736"
"477328","350814","360703"
"476052","341367","350814"
"465019","319305","309147"
"469155","330190","376128"
"472600","320819","353898"
