"rep","scenario","year","meanG_S1","varG_S1","genicVarA_S1","accuracy_S2","accuracy_cand","nCandidates","nParentsUsed","nCrossesUsed","nKept","Ft0","Ft1","dF1","propParents_S2","propCrosses_S2","propProgeny_S2","time"
16,"COMA_S2S3S4",1,0.0481459825421231,0.882735623329376,0.964437249610636,0.382379618896076,NA,NA,40,100,30,0,0.00875,0.875,NA,NA,NA,NA
16,"COMA_S2S3S4",2,0.662385589292764,1.46476661447673,0.96878540202189,0.428427964719083,NA,NA,40,100,30,0,0.005,0.5,NA,NA,NA,NA
16,"COMA_S2S3S4",3,1.11881512480193,1.49135188391599,0.966641552877823,0.375682083727491,NA,NA,40,100,30,0,0.035,3.5,NA,NA,NA,NA
16,"COMA_S2S3S4",4,1.82736327070468,1.19648876354795,0.943688977874895,0.48223300839108,NA,NA,40,100,30,0,0.025,2.5,NA,NA,NA,NA
16,"COMA_S2S3S4",5,2.4271982591327,0.667688301582551,0.945606930600585,0.454005073439087,NA,NA,40,100,30,0,0.0425,4.25,NA,NA,NA,NA
16,"COMA_S2S3S4",6,2.35883971551585,0.636995809813148,0.927297272755916,0.387455873225068,NA,NA,40,100,30,0.0125,0.04375,3.16455696202532,NA,NA,NA,NA
16,"COMA_S2S3S4",7,2.61193407545644,0.766274391755837,0.921248368531442,0.366314787371401,NA,NA,40,100,30,0.0125,0.0559375,4.39873417721519,NA,NA,NA,NA
16,"COMA_S2S3S4",8,3.02776065320814,0.821063032094017,0.932651265270994,0.346711058870278,NA,NA,40,100,30,0.028125,0.06625,3.92282958199358,NA,NA,NA,NA
16,"COMA_S2S3S4",9,3.41441969422124,0.773107392204289,0.912132493118784,0.396077527276126,NA,NA,40,100,30,0.04375,0.0775,3.52941176470589,NA,NA,NA,NA
16,"COMA_S2S3S4",10,3.99943012363086,0.659959044769133,0.895401730008114,0.39740494808997,NA,NA,40,100,30,0.0375000000000001,0.0609375,2.43506493506493,NA,NA,NA,NA
16,"COMA_S2S3S4",11,4.02892090736198,0.62943627868095,0.891259561290653,0.408635245804055,NA,NA,40,100,30,0.0703125,0.08625,1.71428571428572,NA,NA,NA,NA
16,"COMA_S2S3S4",12,4.42838019424897,0.666723870546272,0.866975875685053,0.378127308629041,NA,NA,40,100,30,0.0812499999999998,0.0948437499999999,1.4795918367347,NA,NA,NA,NA
16,"COMA_S2S3S4",13,4.59759413774934,0.625989941600193,0.849280087003621,0.368095795298386,NA,NA,40,100,30,0.0796874999999997,0.0891406249999999,1.02716468590834,NA,NA,NA,NA
16,"COMA_S2S3S4",14,4.87216843897596,0.662830726637368,0.870938831579853,0.347114532233854,NA,NA,40,100,30,0.0953124999999997,0.112265625,1.87392055267705,NA,NA,NA,NA
